Title,Genre,Director,Country,Release Year,Content Type,Duration,Rating,IMDb Rating,Language,Date Watched,Month,Year
You are My Destiny,Romance,Kim Myung-wook,South Korea,2014.0,TV Series,36 episodes,PG-13,7.1,Korean,2024-09-24,9,2024
Love Next Door,Romance,Unknown,South Korea,0.0,TV Series,Unknown,Not Rated,0.0,Korean,2024-09-22,9,2024
Love Next Door,Romance,Unknown,South Korea,0.0,TV Series,Unknown,Not Rated,0.0,Korean,2024-09-22,9,2024
Love Next Door,Romance,Unknown,South Korea,0.0,TV Series,Unknown,Not Rated,0.0,Korean,2024-09-22,9,2024
Love Next Door,Romance,Unknown,South Korea,0.0,TV Series,Unknown,Not Rated,0.0,Korean,2024-09-22,9,2024
Eve,Thriller,Park Bong-seop,South Korea,2022.0,TV Series,16 episodes,18+,7.5,Korean,2024-09-11,9,2024
Love Next Door,Romance,Unknown,South Korea,0.0,TV Series,Unknown,Not Rated,0.0,Korean,2024-09-08,9,2024
Love Next Door,Romance,Unknown,South Korea,0.0,TV Series,Unknown,Not Rated,0.0,Korean,2024-09-07,9,2024
Chastity High,Unknown,Unknown,South Korea,0.0,TV Series,Unknown,Not Rated,0.0,Korean,2024-09-07,9,2024
Hotel Del Luna,Fantasy,Oh Choong-hwan,South Korea,2019.0,TV Series,16 episodes,PG-13,8.2,Korean,2024-09-07,9,2024
D.P.,Drama,Han Jun-hee,South Korea,2021.0,TV Series,6 episodes,18+,8.1,Korean,2024-09-05,9,2024
D.P.,Drama,Han Jun-hee,South Korea,2021.0,TV Series,6 episodes,18+,8.1,Korean,2024-09-05,9,2024
D.P.,Drama,Han Jun-hee,South Korea,2021.0,TV Series,6 episodes,18+,8.1,Korean,2024-09-05,9,2024
D.P.,Drama,Han Jun-hee,South Korea,2021.0,TV Series,6 episodes,18+,8.1,Korean,2024-09-05,9,2024
Kill Boksoon,Action,Byun Sung-hyun,South Korea,2023.0,Movie,137 minutes,18+,6.6,Korean,2024-09-02,9,2024
Love Next Door,Romance,Unknown,South Korea,0.0,TV Series,Unknown,Not Rated,0.0,Korean,2024-09-01,9,2024
Love Next Door,Romance,Unknown,South Korea,0.0,TV Series,Unknown,Not Rated,0.0,Korean,2024-09-01,9,2024
Happiness,Thriller,Ahn Gil-ho,South Korea,2021.0,TV Series,12 episodes,18+,8.3,Korean,2024-08-26,8,2024
Happiness,Thriller,Ahn Gil-ho,South Korea,2021.0,TV Series,12 episodes,18+,8.3,Korean,2024-08-26,8,2024
The Frog,Unknown,Unknown,South Korea,0.0,Unknown,Unknown,Not Rated,0.0,Korean,2024-08-25,8,2024
Love Next Door,Romance,Unknown,South Korea,0.0,TV Series,Unknown,Not Rated,0.0,Korean,2024-08-25,8,2024
Love Next Door,Romance,Unknown,South Korea,0.0,TV Series,Unknown,Not Rated,0.0,Korean,2024-08-24,8,2024
Happiness,Thriller,Ahn Gil-ho,South Korea,2021.0,TV Series,12 episodes,18+,8.3,Korean,2024-08-23,8,2024
Law School,Drama,Kim Seok-yoon,South Korea,2021.0,TV Series,16 episodes,15+,8.0,Korean,2024-08-23,8,2024
Love Next Door,Romance,Unknown,South Korea,0.0,TV Series,Unknown,Not Rated,0.0,Korean,2024-08-18,8,2024
Love Next Door,Romance,Unknown,South Korea,0.0,TV Series,Unknown,Not Rated,0.0,Korean,2024-08-18,8,2024
When the Weather Is Fine,Romance,Han Ji-seung,South Korea,2020.0,TV Series,16 episodes,12+,7.7,Korean,2024-08-14,8,2024
maboroshi,Drama,Hirokazu Koreeda,Japan,1995.0,Movie,110 minutes,Not Rated,7.5,Japanese,2024-08-12,8,2024
From Me to You,Romance,Naoto Kumazawa,Japan,2010.0,Movie,128 minutes,Not Rated,7.0,Japanese,2024-08-12,8,2024
Homemade Love Story,Family,Hong Seok-ku,South Korea,2020.0,TV Series,50 episodes,PG-13,7.0,Korean,2024-08-12,8,2024
Mission,Unknown,Unknown,Unknown,0.0,Unknown,Unknown,Not Rated,0.0,Unknown,2024-08-12,8,2024
From Me to You,Romance,Naoto Kumazawa,Japan,2010.0,Movie,128 minutes,Not Rated,7.0,Japanese,2024-08-07,8,2024
From Me to You,Romance,Naoto Kumazawa,Japan,2010.0,Movie,128 minutes,Not Rated,7.0,Japanese,2024-08-07,8,2024
From Me to You,Romance,Naoto Kumazawa,Japan,2010.0,Movie,128 minutes,Not Rated,7.0,Japanese,2024-08-07,8,2024
From Me to You,Romance,Naoto Kumazawa,Japan,2010.0,Movie,128 minutes,Not Rated,7.0,Japanese,2024-08-07,8,2024
From Me to You,Romance,Naoto Kumazawa,Japan,2010.0,Movie,128 minutes,Not Rated,7.0,Japanese,2024-08-07,8,2024
From Me to You,Romance,Naoto Kumazawa,Japan,2010.0,Movie,128 minutes,Not Rated,7.0,Japanese,2024-08-07,8,2024
From Me to You,Romance,Naoto Kumazawa,Japan,2010.0,Movie,128 minutes,Not Rated,7.0,Japanese,2024-08-07,8,2024
From Me to You,Romance,Naoto Kumazawa,Japan,2010.0,Movie,128 minutes,Not Rated,7.0,Japanese,2024-08-07,8,2024
From Me to You,Romance,Naoto Kumazawa,Japan,2010.0,Movie,128 minutes,Not Rated,7.0,Japanese,2024-08-07,8,2024
From Me to You,Romance,Naoto Kumazawa,Japan,2010.0,Movie,128 minutes,Not Rated,7.0,Japanese,2024-08-07,8,2024
From Me to You,Romance,Naoto Kumazawa,Japan,2010.0,Movie,128 minutes,Not Rated,7.0,Japanese,2024-08-07,8,2024
From Me to You,Romance,Naoto Kumazawa,Japan,2010.0,Movie,128 minutes,Not Rated,7.0,Japanese,2024-08-06,8,2024
From Me to You,Romance,Naoto Kumazawa,Japan,2010.0,Movie,128 minutes,Not Rated,7.0,Japanese,2024-08-06,8,2024
From Me to You,Romance,Naoto Kumazawa,Japan,2010.0,Movie,128 minutes,Not Rated,7.0,Japanese,2024-08-06,8,2024
From Me to You,Romance,Naoto Kumazawa,Japan,2010.0,Movie,128 minutes,Not Rated,7.0,Japanese,2024-08-06,8,2024
From Me to You,Romance,Naoto Kumazawa,Japan,2010.0,Movie,128 minutes,Not Rated,7.0,Japanese,2024-08-06,8,2024
From Me to You,Romance,Naoto Kumazawa,Japan,2010.0,Movie,128 minutes,Not Rated,7.0,Japanese,2024-08-06,8,2024
From Me to You,Romance,Naoto Kumazawa,Japan,2010.0,Movie,128 minutes,Not Rated,7.0,Japanese,2024-08-06,8,2024
From Me to You,Romance,Naoto Kumazawa,Japan,2010.0,Movie,128 minutes,Not Rated,7.0,Japanese,2024-08-06,8,2024
From Me to You,Romance,Naoto Kumazawa,Japan,2010.0,Movie,128 minutes,Not Rated,7.0,Japanese,2024-08-06,8,2024
From Me to You,Romance,Naoto Kumazawa,Japan,2010.0,Movie,128 minutes,Not Rated,7.0,Japanese,2024-08-06,8,2024
From Me to You,Romance,Naoto Kumazawa,Japan,2010.0,Movie,128 minutes,Not Rated,7.0,Japanese,2024-08-06,8,2024
From Me to You,Romance,Naoto Kumazawa,Japan,2010.0,Movie,128 minutes,Not Rated,7.0,Japanese,2024-08-06,8,2024
From Me to You,Romance,Naoto Kumazawa,Japan,2010.0,Movie,128 minutes,Not Rated,7.0,Japanese,2024-08-06,8,2024
From Me to You,Romance,Naoto Kumazawa,Japan,2010.0,Movie,128 minutes,Not Rated,7.0,Japanese,2024-08-06,8,2024
From Me to You,Romance,Naoto Kumazawa,Japan,2010.0,Movie,128 minutes,Not Rated,7.0,Japanese,2024-08-06,8,2024
From Me to You,Romance,Naoto Kumazawa,Japan,2010.0,Movie,128 minutes,Not Rated,7.0,Japanese,2024-08-06,8,2024
From Me to You,Romance,Naoto Kumazawa,Japan,2010.0,Movie,128 minutes,Not Rated,7.0,Japanese,2024-08-06,8,2024
Police University,Comedy,Kim Byung-soo,South Korea,2021.0,TV Series,16 episodes,PG-13,7.0,Korean,2024-08-05,8,2024
Reflection of You,Drama,Lim Hyun-wook,South Korea,2021.0,TV Series,16 episodes,18+,7.5,Korean,2024-07-18,7,2024
Ocean Waves,Romance,Tomomi Mochizuki,Japan,1993.0,Movie,76 minutes,Not Rated,6.7,Japanese,2024-07-18,7,2024
Twenty Five Twenty One,Romance,Jung Ji-hyun,South Korea,2022.0,TV Series,16 episodes,12+,8.7,Korean,2024-07-18,7,2024
Twenty Five Twenty One,Romance,Jung Ji-hyun,South Korea,2022.0,TV Series,16 episodes,12+,8.7,Korean,2024-07-18,7,2024
Twenty Five Twenty One,Romance,Jung Ji-hyun,South Korea,2022.0,TV Series,16 episodes,12+,8.7,Korean,2024-07-18,7,2024
Twenty Five Twenty One,Romance,Jung Ji-hyun,South Korea,2022.0,TV Series,16 episodes,12+,8.7,Korean,2024-07-17,7,2024
Twenty Five Twenty One,Romance,Jung Ji-hyun,South Korea,2022.0,TV Series,16 episodes,12+,8.7,Korean,2024-07-17,7,2024
Twenty Five Twenty One,Romance,Jung Ji-hyun,South Korea,2022.0,TV Series,16 episodes,12+,8.7,Korean,2024-07-17,7,2024
Twenty Five Twenty One,Romance,Jung Ji-hyun,South Korea,2022.0,TV Series,16 episodes,12+,8.7,Korean,2024-07-17,7,2024
Twenty Five Twenty One,Romance,Jung Ji-hyun,South Korea,2022.0,TV Series,16 episodes,12+,8.7,Korean,2024-07-17,7,2024
Twenty Five Twenty One,Romance,Jung Ji-hyun,South Korea,2022.0,TV Series,16 episodes,12+,8.7,Korean,2024-07-17,7,2024
Twenty Five Twenty One,Romance,Jung Ji-hyun,South Korea,2022.0,TV Series,16 episodes,12+,8.7,Korean,2024-07-17,7,2024
My Unfamiliar Family,Drama,Kwon Young-il,South Korea,2020.0,TV Series,16 episodes,15+,7.8,Korean,2024-07-16,7,2024
Coffee Prince,Romance,Lee Yoon-jung,South Korea,2007.0,TV Series,17 episodes,PG-13,8.2,Korean,2024-07-10,7,2024
Coffee Prince,Romance,Lee Yoon-jung,South Korea,2007.0,TV Series,17 episodes,PG-13,8.2,Korean,2024-07-10,7,2024
Coffee Prince,Romance,Lee Yoon-jung,South Korea,2007.0,TV Series,17 episodes,PG-13,8.2,Korean,2024-07-10,7,2024
Coffee Prince,Romance,Lee Yoon-jung,South Korea,2007.0,TV Series,17 episodes,PG-13,8.2,Korean,2024-07-10,7,2024
Coffee Prince,Romance,Lee Yoon-jung,South Korea,2007.0,TV Series,17 episodes,PG-13,8.2,Korean,2024-07-10,7,2024
Coffee Prince,Romance,Lee Yoon-jung,South Korea,2007.0,TV Series,17 episodes,PG-13,8.2,Korean,2024-07-10,7,2024
Coffee Prince,Romance,Lee Yoon-jung,South Korea,2007.0,TV Series,17 episodes,PG-13,8.2,Korean,2024-07-10,7,2024
Coffee Prince,Romance,Lee Yoon-jung,South Korea,2007.0,TV Series,17 episodes,PG-13,8.2,Korean,2024-07-10,7,2024
Coffee Prince,Romance,Lee Yoon-jung,South Korea,2007.0,TV Series,17 episodes,PG-13,8.2,Korean,2024-07-09,7,2024
Coffee Prince,Romance,Lee Yoon-jung,South Korea,2007.0,TV Series,17 episodes,PG-13,8.2,Korean,2024-07-09,7,2024
Coffee Prince,Romance,Lee Yoon-jung,South Korea,2007.0,TV Series,17 episodes,PG-13,8.2,Korean,2024-07-09,7,2024
Coffee Prince,Romance,Lee Yoon-jung,South Korea,2007.0,TV Series,17 episodes,PG-13,8.2,Korean,2024-07-09,7,2024
Coffee Prince,Romance,Lee Yoon-jung,South Korea,2007.0,TV Series,17 episodes,PG-13,8.2,Korean,2024-07-09,7,2024
Coffee Prince,Romance,Lee Yoon-jung,South Korea,2007.0,TV Series,17 episodes,PG-13,8.2,Korean,2024-07-09,7,2024
Coffee Prince,Romance,Lee Yoon-jung,South Korea,2007.0,TV Series,17 episodes,PG-13,8.2,Korean,2024-07-09,7,2024
Coffee Prince,Romance,Lee Yoon-jung,South Korea,2007.0,TV Series,17 episodes,PG-13,8.2,Korean,2024-07-09,7,2024
Coffee Prince,Romance,Lee Yoon-jung,South Korea,2007.0,TV Series,17 episodes,PG-13,8.2,Korean,2024-07-09,7,2024
Never Give Up,Comedy,Min Jin-ki,South Korea,2022.0,TV Series,12 episodes,PG-13,7.0,Korean,2024-07-08,7,2024
Miss Night and Day,Romance,Unknown,South Korea,0.0,TV Series,Unknown,Not Rated,0.0,Korean,2024-07-07,7,2024
The Sound of Your Heart,Comedy,Ha Byung-hoon,South Korea,2016.0,TV Series,20 episodes,PG-13,8.2,Korean,2024-07-07,7,2024
The Sound of Your Heart,Comedy,Ha Byung-hoon,South Korea,2016.0,TV Series,20 episodes,PG-13,8.2,Korean,2024-07-07,7,2024
The Sound of Your Heart,Comedy,Ha Byung-hoon,South Korea,2016.0,TV Series,20 episodes,PG-13,8.2,Korean,2024-07-07,7,2024
Miss Night and Day,Romance,Unknown,South Korea,0.0,TV Series,Unknown,Not Rated,0.0,Korean,2024-07-07,7,2024
The Whirlwind,Unknown,Unknown,Unknown,0.0,Unknown,Unknown,Not Rated,0.0,Unknown,2024-07-05,7,2024
Doctor John,Medical,Jo Soo-won,South Korea,2019.0,TV Series,32 episodes,15+,8.2,Korean,2024-07-03,7,2024
Doctor John,Medical,Jo Soo-won,South Korea,2019.0,TV Series,32 episodes,15+,8.2,Korean,2024-07-03,7,2024
Doctor John,Medical,Jo Soo-won,South Korea,2019.0,TV Series,32 episodes,15+,8.2,Korean,2024-07-02,7,2024
Doctor John,Medical,Jo Soo-won,South Korea,2019.0,TV Series,32 episodes,15+,8.2,Korean,2024-07-02,7,2024
