Title,Genre,Director,Country,Release Year,Content Type,Duration,Rating,IMDb Rating,Language,Date Watched
You are My Destiny,Romance,Kim Myung-wook,South Korea,2014,TV Series,36 episodes,PG-13,7.1,Korean,24/09/2024
Love Next Door,Romance,NULL,South Korea,NULL,TV Series,NULL,NULL,NULL,Korean,22/09/2024
Love Next Door,Romance,NULL,South Korea,NULL,TV Series,NULL,NULL,NULL,Korean,22/09/2024
Love Next Door,Romance,NULL,South Korea,NULL,TV Series,NULL,NULL,NULL,Korean,22/09/2024
Love Next Door,Romance,NULL,South Korea,NULL,TV Series,NULL,NULL,NULL,Korean,22/09/2024
Eve,Thriller,Park Bong-seop,South Korea,2022,TV Series,16 episodes,18+,7.5,Korean,11/09/2024
Love Next Door,Romance,NULL,South Korea,NULL,TV Series,NULL,NULL,NULL,Korean,08/09/2024
Love Next Door,Romance,NULL,South Korea,NULL,TV Series,NULL,NULL,NULL,Korean,07/09/2024
Chastity High,NULL,NULL,South Korea,NULL,TV Series,NULL,NULL,NULL,Korean,07/09/2024
Hotel Del Luna,Fantasy,Oh Choong-hwan,South Korea,2019,TV Series,16 episodes,PG-13,8.2,Korean,07/09/2024
D.P.,Drama,Han Jun-hee,South Korea,2021,TV Series,6 episodes,18+,8.1,Korean,05/09/2024
D.P.,Drama,Han Jun-hee,South Korea,2021,TV Series,6 episodes,18+,8.1,Korean,05/09/2024
D.P.,Drama,Han Jun-hee,South Korea,2021,TV Series,6 episodes,18+,8.1,Korean,05/09/2024
D.P.,Drama,Han Jun-hee,South Korea,2021,TV Series,6 episodes,18+,8.1,Korean,05/09/2024
Kill Boksoon,Action,Byun Sung-hyun,South Korea,2023,Movie,137 minutes,18+,6.6,Korean,02/09/2024
Love Next Door,Romance,NULL,South Korea,NULL,TV Series,NULL,NULL,NULL,Korean,01/09/2024
Love Next Door,Romance,NULL,South Korea,NULL,TV Series,NULL,NULL,NULL,Korean,01/09/2024
Happiness,Thriller,Ahn Gil-ho,South Korea,2021,TV Series,12 episodes,18+,8.3,Korean,26/08/2024
Happiness,Thriller,Ahn Gil-ho,South Korea,2021,TV Series,12 episodes,18+,8.3,Korean,26/08/2024
The Frog,NULL,NULL,South Korea,NULL,NULL,NULL,NULL,NULL,Korean,25/08/2024
Love Next Door,Romance,NULL,South Korea,NULL,TV Series,NULL,NULL,NULL,Korean,25/08/2024
Love Next Door,Romance,NULL,South Korea,NULL,TV Series,NULL,NULL,NULL,Korean,24/08/2024
Happiness,Thriller,Ahn Gil-ho,South Korea,2021,TV Series,12 episodes,18+,8.3,Korean,23/08/2024
Law School,Drama,Kim Seok-yoon,South Korea,2021,TV Series,16 episodes,15+,8,Korean,23/08/2024
Love Next Door,Romance,NULL,South Korea,NULL,TV Series,NULL,NULL,NULL,Korean,18/08/2024
Love Next Door,Romance,NULL,South Korea,NULL,TV Series,NULL,NULL,NULL,Korean,18/08/2024
When the Weather Is Fine,Romance,Han Ji-seung,South Korea,2020,TV Series,16 episodes,12+,7.7,Korean,14/08/2024
maboroshi,Drama,Hirokazu Koreeda,Japan,1995,Movie,110 minutes,N/A,7.5,Japanese,12/08/2024
From Me to You,Romance,Naoto Kumazawa,Japan,2010,Movie,128 minutes,N/A,7,Japanese,12/08/2024
Homemade Love Story,Family,Hong Seok-ku,South Korea,2020,TV Series,50 episodes,PG-13,7,Korean,12/08/2024
Mission,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12/08/2024
